Date,freemocap/freemocap
2021-06-30,1
2021-07-01,3
2021-07-06,4
2021-07-08,5
2021-07-16,6
2021-07-21,87
2021-07-22,517
2021-07-23,618
2021-07-24,638
2021-07-25,659
2021-07-26,733
2021-07-27,796
2021-07-28,822
2021-07-29,834
2021-07-30,840
2021-07-31,850
2021-08-01,855
2021-08-02,861
2021-08-03,868
2021-08-04,871
2021-08-05,874
2021-08-06,884
2021-08-07,892
2021-08-08,901
2021-08-09,902
2021-08-10,904
2021-08-11,909
2021-08-12,916
2021-08-13,918
2021-08-14,919
2021-08-15,921
2021-08-16,926
2021-08-17,928
2021-08-18,933
2021-08-19,935
2021-08-21,940
2021-08-22,942
2021-08-23,947
2021-08-24,952
2021-08-25,955
2021-08-26,961
2021-08-27,966
2021-08-28,968
2021-08-29,971
2021-08-30,974
2021-08-31,975
2021-09-01,976
2021-09-02,978
2021-09-05,979
2021-09-07,981
2021-09-08,982
2021-09-09,985
2021-09-10,988
2021-09-11,990
2021-09-12,991
2021-09-14,992
2021-09-15,994
2021-09-16,995
2021-09-17,996
2021-09-18,997
2021-09-19,999
2021-09-20,1001
2021-09-21,1006
2021-09-22,1007
2021-09-27,1008
2021-09-28,1009
2021-09-29,1013
2021-09-30,1015
2021-10-08,1016
2021-10-09,1017
2021-10-10,1025
2021-10-11,1027
2021-10-12,1029
2021-10-13,1030
2021-10-14,1032
2021-10-15,1035
2021-10-16,1036
2021-10-17,1037
2021-10-18,1038
2021-10-19,1040
2021-10-20,1041
2021-10-22,1042
2021-10-24,1045
2021-10-25,1046
2021-10-27,1047
2021-10-28,1048
2021-10-29,1049
2021-11-01,1050
2021-11-02,1051
2021-11-03,1053
2021-11-04,1054
2021-11-05,1055
2021-11-07,1056
2021-11-08,1058
2021-11-11,1059
2021-11-14,1060
2021-11-15,1093
2021-11-16,1120
2021-11-17,1169
2021-11-18,1219
2021-11-19,1227
2021-11-20,1231
2021-11-21,1233
2021-11-22,1236
2021-11-23,1242
2021-11-24,1244
2021-11-25,1249
2021-11-26,1254
2021-11-27,1255
2021-11-28,1257
2021-11-29,1260
2021-11-30,1262
2021-12-02,1264
2021-12-03,1266
2021-12-04,1267
2021-12-05,1268
2021-12-06,1273
2021-12-09,1274
2021-12-10,1276
2021-12-11,1277
2021-12-13,1278
2021-12-15,1280
2021-12-16,1285
2021-12-17,1288
2021-12-18,1290
2021-12-19,1291
2021-12-20,1292
2021-12-21,1293
2021-12-22,1294
2021-12-24,1296
2021-12-25,1298
2021-12-29,1299
2021-12-30,1300
2022-01-03,1302
2022-01-04,1304
2022-01-06,1306
2022-01-07,1310
2022-01-08,1313
2022-01-09,1315
2022-01-10,1316
2022-01-14,1317
2022-01-15,1320
2022-01-16,1321
2022-01-17,1325
2022-01-18,1327
2022-01-19,1330
2022-01-20,1339
2022-01-21,1342
2022-01-22,1365
2022-01-23,1377
2022-01-24,1420
2022-01-25,1459
2022-01-26,1462
2022-01-27,1466
2022-01-28,1467
2022-01-30,1469
2022-01-31,1473
2022-02-01,1477
2022-02-02,1478
2022-02-04,1481
2022-02-06,1482
2022-02-07,1485
2022-02-08,1487
2022-02-09,1492
2022-02-10,1495
2022-02-11,1498
2022-02-14,1500
2022-02-16,1503
2022-02-17,1519
2022-02-18,1524
2022-02-19,1525
2022-02-20,1527
2022-02-21,1530
2022-02-23,1532
2022-02-24,1533
2022-02-25,1534
2022-02-26,1535
2022-02-27,1536
2022-02-28,1537
2022-03-03,1540
2022-03-04,1541
2022-03-05,1542
2022-03-06,1544
2022-03-07,1546
2022-03-08,1547
2022-03-09,1548
2022-03-10,1550
2022-03-11,1571
2022-03-12,1648
2022-03-13,1662
2022-03-14,1682
2022-03-15,1692
2022-03-16,1699
2022-03-17,1700
2022-03-18,1703
2022-03-19,1707
2022-03-20,1708
2022-03-21,1713
2022-03-22,1714
2022-03-23,1717
2022-03-24,1719
2022-03-25,1721
2022-03-26,1724
2022-03-27,1726
2022-03-29,1730
2022-03-30,1732
2022-04-02,1734
2022-04-03,1737
2022-04-04,1738
2022-04-05,1740
2022-04-06,1741
2022-04-07,1743
2022-04-10,1744
2022-04-11,1745
2022-04-12,1747
2022-04-14,1752
2022-04-15,1754
2022-04-17,1756
2022-04-18,1759
2022-04-19,1763
2022-04-20,1764
2022-04-23,1767
2022-04-25,1768
2022-04-26,1772
2022-04-27,1775
2022-04-28,1779
2022-05-03,1781
2022-05-04,1782
2022-05-06,1783
2022-05-07,1790
2022-05-08,1792
2022-05-09,1797
2022-05-10,1798
2022-05-11,1801
2022-05-12,1802
